video_id	title	uploader	duration_seconds	url
xpLS7tpVWMM	Jax Jones, Calum Scott - Whistle	Jax Jones	196	https://www.youtube.com/watch?v=xpLS7tpVWMM
BLCgDlmfgsg	Braaten - Something Just Like This (Lyrics)	Sensual Musique	173	https://www.youtube.com/watch?v=BLCgDlmfgsg
xhjVN2UUVD0	Nate VanDeusen, Carston - Out Of The Blue (Lyrics)	Sensual Musique	158	https://www.youtube.com/watch?v=xhjVN2UUVD0
pfZrBPiwlR8	John K, Sigala - if we never met (remix (Audio))	John K	189	https://www.youtube.com/watch?v=pfZrBPiwlR8
aJOTlE1K90k	Maroon 5 - Girls Like You ft. Cardi B (Official Music Video)	Maroon 5	271	https://www.youtube.com/watch?v=aJOTlE1K90k
Il0S8BoucSA	Ed Sheeran - Shivers [Official Video]	Ed Sheeran	238	https://www.youtube.com/watch?v=Il0S8BoucSA
vC8qJfVYxZY	Jason Derulo - Take You Dancing [Official Dance Video]	Jason Derulo	191	https://www.youtube.com/watch?v=vC8qJfVYxZY
ru0K8uYEZWw	Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's "TROLLS") (Official Video)	Justin Timberlake	286	https://www.youtube.com/watch?v=ru0K8uYEZWw
OPf0YbXqDm0	Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars	Mark Ronson	271	https://www.youtube.com/watch?v=OPf0YbXqDm0
1EF0VOd3WGA	Doechii - Anxiety (Lyrics)	Vibe Music	250	https://www.youtube.com/watch?v=1EF0VOd3WGA
hT_nvWreIhg	OneRepublic - Counting Stars	OneRepublic	284	https://www.youtube.com/watch?v=hT_nvWreIhg
CevxZvSJLk8	Katy Perry - Roar	Katy Perry	270	https://www.youtube.com/watch?v=CevxZvSJLk8
gir8BEqAutk	Taylor Swift - Blank Space (Taylor's Version) (Lyric Video)	Taylor Swift	237	https://www.youtube.com/watch?v=gir8BEqAutk
dhYOPzcsbGM	Alan Walker, Sabrina Carpenter & Farruko  - On My Way	Alan Walker	217	https://www.youtube.com/watch?v=dhYOPzcsbGM
p8WYWksB0UY	Zara Larsson, David Guetta - On My Love (Lyrics)	Sensual Musique	223	https://www.youtube.com/watch?v=p8WYWksB0UY
3ftLXjhUI7c	Kygo, Ava Max - Whatever (Lyrics)	Sensual Musique	179	https://www.youtube.com/watch?v=3ftLXjhUI7c
5yXQJBU8A28	Jonas Blue - Fast Car ft. Dakota (Official Video)	Jonas Blue	216	https://www.youtube.com/watch?v=5yXQJBU8A28
k7Q2kt_MZRk	Lost Frequencies & Calum Scott - Where Are You Now (Lyrics)	Vibe Music	149	https://www.youtube.com/watch?v=k7Q2kt_MZRk
B4HvaBWCYVc	Lilly Wood & The Prick and Robin Schulz - Prayer In C (Robin Schulz Remix)	Big Beat Records	323	https://www.youtube.com/watch?v=B4HvaBWCYVc
WD9NtFqIkmU	Marc Philippe - So Alive	Deep Disco Records	302	https://www.youtube.com/watch?v=WD9NtFqIkmU
kPa7bsKwL-c	Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)	Lady Gaga	253	https://www.youtube.com/watch?v=kPa7bsKwL-c
QbWbriNiX6Q	[Sub Thai] Beautiful Things - Benson Boone	Warner Music Thailand	181	https://www.youtube.com/watch?v=QbWbriNiX6Q
